pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,4/2/2024,95,-2.01,5.22,"Rocchio, Brayan",677587,622491,single,hit_into_play,,,,,3,Brayan Rocchio singles on a pop up to left fielder Dominic Canzone.   Bo Naylor to 2nd.,R,L,R,SEA,CLE,X,7,popup,0,2,2024,-0.85,1.2,0.69,3.18,,,666310,2,6,Top,87.46,125.97,,,,,8.809588894,-138.1844612,-2.337745051,-12.83693599,30.27404677,-16.44267944,3.1,1.4,180,61.9,28,93.5,2061,5.4,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.11,0.709,0.638,0.9,1,1,0,4,46,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,239,-0.006,0.386,,,0.75,-0.386,88,-4,4,0.082,0.918,31,23,32,23,3,2,5,1,6,1,1.32,0.85,-0.85,19.4
CH,4/2/2024,88.5,-2.09,4.95,"Rocchio, Brayan",677587,622491,,foul,,,,,4,Brayan Rocchio singles on a pop up to left fielder Dominic Canzone.   Bo Naylor to 2nd.,R,L,R,SEA,CLE,S,,,0,1,2024,-1.4,0.07,-0.3,2.29,,,666310,2,6,Top,,,,,,,7.152184822,-128.7636525,-0.628006575,-17.00907224,24.58999553,-31.42062836,3.1,1.4,3,69,-38,87.4,1677,5.4,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.06,,,,,,,,46,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,253,0,-0.046,,,,0.046,88,-4,4,0.082,0.918,31,23,32,23,3,2,5,1,6,1,2.82,1.4,-1.4,14.4
SI,4/2/2024,95,-2.02,5.12,"Rocchio, Brayan",677587,622491,,called_strike,,,,,2,Brayan Rocchio singles on a pop up to left fielder Dominic Canzone.   Bo Naylor to 2nd.,R,L,R,SEA,CLE,S,,,0,0,2024,-1.48,0.15,-0.14,3.15,,,666310,2,6,Top,,,,,,,8.099204861,-138.1953336,0.123694014,-20.78968466,29.58467983,-30.45310089,3.09,1.39,,,,93.7,1832,5.5,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.04,,,,,,,,46,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,238,0,-0.039,,,,0.039,,-4,4,0.082,0.918,31,23,32,23,3,2,5,1,6,1,2.37,1.48,-1.48,21.9
KC,4/2/2024,80.8,-3.13,5.61,"Rizzo, Anthony",519203,668678,field_out,hit_into_play,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,X,1,ground_ball,3,2,2024,0.5,-1.1,-1.01,1.13,,,665742,2,6,Top,113.82,188.11,,,,,3.785865599,-117.5686367,-1.172777695,3.87672977,23.9691485,-42.30162336,3.66,1.73,1,31.7,-62,81.1,2479,6.7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.82,0.286,0.243,0,1,0,0,1,45,6,Knuckle Curve,3,0,0,3,0,3,0,3,Infield shade,Standard,42,0.021,-0.269,,,0.296,0.269,88,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,4.61,-0.5,0.5,36.3
FF,4/2/2024,95.4,-1.95,5.12,"Hedges, Austin",595978,622491,strikeout,foul_tip,,,,,5,Austin Hedges strikes out on a foul tip.,R,R,R,SEA,CLE,S,2,,1,2,2024,-1.08,0.9,-0.04,2.52,,,666310,1,6,Top,,,,,,,7.31546529,-138.7773352,-3.2297754,-15.53001974,28.21573845,-19.94887044,3.18,1.45,,,,94.3,2153,5.5,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.04,,0,0,1,0,0,,45,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,238,0.008,-0.214,,,,0.214,,-4,4,0.074,0.926,31,31,32,32,3,2,5,3,6,6,1.59,1.08,1.08,17.5
SI,4/2/2024,90.7,-1.26,5.13,"Ohtani, Shohei",660271,657277,walk,ball,,,,,11,Shohei Ohtani walks.   Enrique HernÃ¡ndez to 2nd.,R,L,R,LAD,SF,B,,,3,0,2024,-1.45,0.09,-2.25,3.29,,,571771,2,4,Bot,,,,,,,0.620900307,-132.0243809,1.226849634,-16.88805776,32.43968765,-31.63991567,3.55,1.66,,,,91,1865,6.8,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.68,,0.689131,0.7,1,0,0,,37,4,Sinker,5,2,5,2,2,5,5,2,Infield shade,Standard,234,0.009,0.09,,,,-0.09,,3,3,0.857,0.857,27,29,28,30,3,2,5,1,5,1,2.71,1.45,-1.45,27.9
SI,4/2/2024,91.8,1.75,4.89,"Casas, Triston",671213,622072,walk,ball,,,,,11,Triston Casas walks.,R,L,L,OAK,BOS,B,,,3,2,2024,0.93,1.04,-2.09,2.97,,,,0,6,Top,,,,,,,-11.65858878,-133.0592394,-1.161627987,13.64844846,31.14621036,-19.90599089,3.51,1.75,,,,91,2104,6.2,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.29,,0.689131,0.7,1,0,0,,46,8,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,122,-0.06,0.333,,,,-0.333,,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,1.71,0.93,0.93,23.9
SI,4/2/2024,94,-1.9,4.99,"Hedges, Austin",595978,622491,,called_strike,,,,,9,Austin Hedges strikes out on a foul tip.,R,R,R,SEA,CLE,S,,,1,1,2024,-1.6,0.39,0.77,1.72,,,666310,1,6,Top,,,,,,,10.29839021,-136.5733086,-3.630539653,-22.21906604,26.09347999,-26.74132528,2.95,1.47,,,,93.1,1917,5.6,745273,663728,664034,593871,668942,641487,686527,677594,571745,54.93,,,,,,,,45,3,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,239,0,-0.069,,,,0.069,,-4,4,0.074,0.926,31,31,32,32,3,2,5,3,6,6,2.17,1.6,1.6,15
SI,4/2/2024,89.9,-1.14,5.01,"Ohtani, Shohei",660271,657277,,ball,,,,,12,Shohei Ohtani walks.   Enrique HernÃ¡ndez to 2nd.,R,L,R,LAD,SF,B,,,2,0,2024,-1.45,0.07,1.31,2.92,,,571771,2,4,Bot,,,,,,,9.30075462,-130.5582448,0.791114548,-18.59459837,30.43645184,-31.87067605,3.6,1.67,,,,90.7,1916,7.1,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.36,,,,,,,,37,3,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,243,0,0.064,,,,-0.064,,3,3,0.857,0.857,27,29,28,30,3,2,5,1,5,1,2.79,1.45,-1.45,24.9
FF,4/2/2024,93.4,-3.17,5.63,"Rizzo, Anthony",519203,668678,,ball,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,B,,,2,2,2024,-0.59,1.49,-1,1.17,,,665742,2,6,Top,,,,,,,6.960233591,-135.6803336,-9.133126474,-8.771815476,28.35399773,-11.90379048,3.58,1.59,,,,94.6,2362,7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.5,,,,,,,,45,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,209,0,0.072,,,,-0.072,,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,1.12,0.59,-0.59,40
SI,4/2/2024,92.1,1.85,4.94,"Casas, Triston",671213,622072,,foul,,,,,1,Triston Casas walks.,R,L,L,OAK,BOS,S,,,3,2,2024,1.23,1.04,-0.78,3.28,,,,0,6,Top,,,,,,,-9.314106949,-133.8750355,-0.625722028,16.83233832,28.47983411,-19.77130334,3.71,1.73,155,77.5,13,91.7,2007,6.1,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.43,,,,,,,,46,7,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,126,0,0,,,,0,88,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,1.65,1.23,1.23,25.7
SL,4/2/2024,81.5,2.06,4.57,"Casas, Triston",671213,622072,,ball,,,,,13,Triston Casas walks.,R,L,L,OAK,BOS,B,,,2,2,2024,-0.88,-0.42,-1.13,1.05,,,,0,6,Top,,,,,,,-5.454364783,-118.6908958,-0.515288868,-7.308597114,22.67696328,-36.21999898,3.49,1.76,,,,81.4,1998,6.2,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.32,,,,,,,,46,6,Slider,4,3,3,4,3,4,3,4,Infield shade,Standard,325,0,0.096,,,,-0.096,,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,3.84,-0.88,-0.88,15.3
CH,4/2/2024,86.6,-3.09,5.58,"Rizzo, Anthony",519203,668678,,swinging_strike,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,S,,,2,1,2024,-1.01,0.91,-1.04,2.29,,,665742,2,6,Top,,,,,,,7.038320994,-125.9518112,-3.544919876,-12.21076917,25.14722541,-21.93197274,3.66,1.73,,,,87.6,1499,6.9,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.62,,,,,,,,45,4,Changeup,3,0,0,3,0,3,0,3,Infield shade,Standard,218,0,-0.061,,,,0.061,,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,2.13,1.01,-1.01,36.5
ST,4/2/2024,83.3,-1.51,4.85,"Ohtani, Shohei",660271,657277,,ball,,,,,13,Shohei Ohtani walks.   Enrique HernÃ¡ndez to 2nd.,R,L,R,LAD,SF,B,,,1,0,2024,0.86,-0.2,-1.95,1.37,,,571771,2,4,Bot,,,,,,,-2.71818331,-121.2164689,-1.076644398,8.976107559,25.81344711,-34.17146688,3.54,1.63,,,,83.6,2604,6.7,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.78,,,,,,,,37,2,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,65,0,0.042,,,,-0.042,,3,3,0.857,0.857,27,29,28,30,3,2,5,1,5,1,3.51,-0.86,0.86,20.9
SL,4/2/2024,86.4,-2.05,4.99,"Hedges, Austin",595978,622491,,ball,,,,,12,Austin Hedges strikes out on a foul tip.,R,R,R,SEA,CLE,B,,,0,1,2024,-0.16,0.5,1.4,2.9,,,666310,1,6,Top,,,,,,,8.426389545,-125.6956807,0.139770578,-3.209516313,22.73650332,-27.08437271,2.97,1.42,,,,85.7,2075,5.6,745273,663728,664034,593871,668942,641487,686527,677594,571745,54.91,,,,,,,,45,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,285,0,0.035,,,,-0.035,,-4,4,0.074,0.926,31,31,32,32,3,2,5,3,6,6,2.53,0.16,0.16,15.3
KC,4/2/2024,81.4,-3.21,5.62,"Rizzo, Anthony",519203,668678,,ball,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,B,,,1,1,2024,0.36,-0.84,-0.25,1.04,,,665742,2,6,Top,,,,,,,5.996953381,-118.5011295,-2.089587535,2.273666817,22.16632316,-39.90902374,3.74,1.75,,,,82.2,2513,6.7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.78,,,,,,,,45,3,Knuckle Curve,3,0,0,3,0,3,0,3,Infield shade,Standard,38,0,0.042,,,,-0.042,,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,4.27,-0.36,0.36,43.7
FC,4/2/2024,91.4,2.3,6.31,"Harris II, Michael",671739,676979,field_out,hit_into_play,,,,,5,"Michael Harris II grounds out, second baseman Nicky Lopez to first baseman Andrew Vaughn.",R,L,L,CWS,ATL,X,4,ground_ball,0,0,2024,-0.22,0.45,-0.17,2.84,,,,2,7,Top,147.15,155.65,,,,,-5.861231478,-133.0122813,-3.93315147,-1.422565219,26.31505467,-26.15193467,3.45,1.57,51,107,0,93,2675,7.1,746814,455117,683734,670032,660162,669699,643217,673357,666150,53.42,0.511,0.471,0,1,0,0,4,48,1,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,169,0.019,-0.099,,,0.557,0.099,107,0,0,0.567,0.433,25,23,25,23,3,2,5,1,5,3,2.26,-0.22,-0.22,40.1
FF,4/2/2024,94.4,-1.94,5.16,"Hedges, Austin",595978,622491,,foul,,,,,6,Austin Hedges strikes out on a foul tip.,R,R,R,SEA,CLE,S,,,0,0,2024,-1.22,1.19,0.46,2.05,,,666310,1,6,Top,,,,,,,8.77772338,-137.1646837,-4.99257252,-17.26322011,27.69282687,-16.19961852,3.18,1.45,220,77,24,93.2,2120,5.4,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.05,,,,,,,,45,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,236,0,-0.047,,,,0.047,88,-4,4,0.074,0.926,31,31,32,32,3,2,5,3,6,6,1.36,1.22,1.22,20.9
SI,4/2/2024,91.4,1.99,4.83,"Casas, Triston",671213,622072,,ball,,,,,13,Triston Casas walks.,R,L,L,OAK,BOS,B,,,1,2,2024,1.37,0.89,-1.22,2.54,,,,0,6,Top,,,,,,,-10.96493458,-132.7365679,-1.775191721,18.53171083,28.38127451,-21.47371359,3.45,1.81,,,,91,2037,6.2,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.35,,,,,,,,46,5,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,119,0,0.036,,,,-0.036,,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,1.85,1.37,1.37,19
SI,4/2/2024,90.7,-1.24,4.99,"Ohtani, Shohei",660271,657277,,ball,,,,,14,Shohei Ohtani walks.   Enrique HernÃ¡ndez to 2nd.,R,L,R,LAD,SF,B,,,0,0,2024,-1.45,-0.05,1.18,2.55,,,571771,2,4,Bot,,,,,,,9.30693051,-131.7258147,0.033740358,-18.91539543,31.60599676,-32.99693767,3.56,1.59,,,,91.6,1985,7.3,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.24,,,,,,,,37,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,243,0,0.028,,,,-0.028,,3,3,0.857,0.857,27,29,28,30,3,2,5,1,5,1,2.86,1.45,-1.45,26.2
SI,4/2/2024,96.3,2.23,5.96,"Hicks, Aaron",543305,666200,single,hit_into_play,,,,,5,Aaron Hicks singles on a ground ball to center fielder Jazz Chisholm Jr.  Zach Neto scores.,R,R,L,MIA,LAA,X,8,ground_ball,2,1,2024,1.45,0.79,-0.23,2.84,687263,,,1,6,Top,126.6,87.23,,,,,-9.645623395,-139.862647,-4.391738302,21.21903175,32.99538493,-20.95062117,3.51,1.68,30,105,-4,94.7,2078,5.5,746086,663743,669394,650333,681146,641313,650559,665862,541645,54.95,0.394,0.373,0.9,1,1,0,2,37,4,Sinker,0,1,1,0,2,0,2,0,Strategic,Standard,128,-0.062,0.577,,,0.432,-0.577,105,-1,1,0.272,0.728,26,34,27,35,3,2,5,1,6,1,1.68,1.45,-1.45,43
FF,4/2/2024,96.4,2.14,5.97,"Hicks, Aaron",543305,666200,,called_strike,,,,,1,Aaron Hicks singles on a ground ball to center fielder Jazz Chisholm Jr.  Zach Neto scores.,R,R,L,MIA,LAA,S,,,2,0,2024,1.48,1.07,-0.78,3.19,687263,,,1,6,Top,,,,,,,-10.94268634,-139.807455,-4.083881901,21.98631827,34.60945873,-17.46850249,3.46,1.64,,,,94.5,2217,5.6,746086,663743,669394,650333,681146,641313,650559,665862,541645,54.9,,,,,,,,37,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,129,0,-0.083,,,,0.083,,-1,1,0.272,0.728,26,34,27,35,3,2,5,1,6,1,1.42,1.48,-1.48,36.7
SL,4/2/2024,81.6,1.98,4.59,"Casas, Triston",671213,622072,,foul,,,,,7,Triston Casas walks.,R,L,L,OAK,BOS,S,,,1,2,2024,-1.1,-0.15,-0.66,2.03,,,,0,6,Top,,,,,,,-3.795264942,-118.8172168,1.082233713,-9.779724198,22.19819197,-33.99772412,3.71,1.73,252,83.7,50,81.4,2022,6.1,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.42,,,,,,,,46,4,Slider,4,3,3,4,3,4,3,4,Infield shade,Standard,322,0,0,,,,0,88,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,3.56,-1.1,-1.1,16.1
FF,4/2/2024,96.1,2.15,6.23,"Duvall, Adam",594807,676979,field_out,hit_into_play,,,,,3,Adam Duvall flies out to right fielder Dominic Fletcher.,R,R,L,CWS,ATL,X,9,fly_ball,2,2,2024,0.48,1.27,0.54,3.38,,,,1,7,Top,192.88,73.32,,,,,-5.446509942,-139.9243508,-4.993086675,7.426493304,28.45634246,-14.53011846,3.35,1.57,352,99.4,25,98.2,2398,7.2,746814,455117,683734,670032,660162,669699,643217,673357,666150,53.3,0.449,0.699,0,1,0,0,6,47,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,149,0.028,-0.142,,,1.222,0.142,99.4,0,0,0.539,0.461,25,35,25,36,3,2,5,2,5,3,1.18,0.48,-0.48,39.3
ST,4/2/2024,83.9,-1.43,4.95,"Betts, Mookie",605141,657277,field_out,hit_into_play,,,,,5,Mookie Betts flies out to right fielder Mike Yastrzemski.,R,R,R,LAD,SF,X,9,fly_ball,1,1,2024,0.72,-0.25,-0.04,2.39,,,571771,1,4,Bot,183.43,102.6,,,,,1.79470189,-122.1269508,1.072294934,6.752169733,26.76622107,-35.11367457,3.2,1.59,279,84.6,38,84.3,2566,6.8,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.7,0.014,0.019,0,1,0,0,3,36,3,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,51,-0.012,-0.288,,,0.033,0.288,88,3,3,0.869,0.869,27,31,28,32,3,2,5,1,5,1,3.51,-0.72,-0.72,23.7
SI,4/2/2024,94.2,-1.91,4.98,"Naylor, Bo",666310,622491,single,hit_into_play,,,,,9,Bo Naylor singles on a ground ball to right fielder Mitch Haniger.,R,L,R,SEA,CLE,X,9,ground_ball,2,2,2024,-1.41,0.19,0.45,2.05,,,,1,6,Top,202.76,121.46,,,,,9.096135563,-137.017893,-2.377707667,-19.75583037,26.67945745,-29.50428328,3.41,1.57,88,105.9,3,93.2,1846,5.5,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.03,0.566,0.533,0.9,1,1,0,4,44,7,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,244,-0.007,0.286,,,0.648,-0.286,105.9,-4,4,0.081,0.919,31,24,32,24,3,2,5,1,6,1,2.36,1.41,-1.41,15.6
CH,4/2/2024,86.9,-3.17,5.58,"Rizzo, Anthony",519203,668678,,called_strike,,,,,7,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,S,,,1,0,2024,-1.12,0.54,-0.74,2.08,,,665742,2,6,Top,,,,,,,8.198781226,-126.3855816,-3.377523625,-13.64593731,23.72245848,-25.90173514,3.8,1.76,,,,88,1481,6.8,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.67,,,,,,,,45,2,Changeup,3,0,0,3,0,3,0,3,Infield shade,Standard,222,0,-0.04,,,,0.04,,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,2.46,1.12,-1.12,34.8
SL,4/2/2024,86.3,-2.18,5.01,"Naylor, Bo",666310,622491,,foul,,,,,8,Bo Naylor singles on a ground ball to right fielder Mitch Haniger.,R,L,R,SEA,CLE,S,,,2,2,2024,-0.05,0.06,-0.09,1.63,,,,1,6,Top,,,,,,,4.981686021,-125.8753603,-2.055700781,-1.314855389,20.28002268,-31.41196816,3.41,1.57,272,79.9,38,85.7,2181,5.3,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.19,,,,,,,,44,6,Slider,0,4,4,0,4,0,4,0,Infield shade,Standard,314,0,0,,,,0,88,-4,4,0.081,0.919,31,24,32,24,3,2,5,1,6,1,2.94,0.05,-0.05,15.2
SI,4/2/2024,91.1,-1.13,5.1,"Betts, Mookie",605141,657277,,ball,,,,,14,Mookie Betts flies out to right fielder Mike Yastrzemski.,R,R,R,LAD,SF,B,,,0,1,2024,-1.4,0.11,1.3,2.11,,,571771,1,4,Bot,,,,,,,9.24795619,-132.1904868,-1.762251051,-18.51661705,32.30097054,-30.69420677,3.31,1.53,,,,91.9,1969,7.2,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.25,,,,,,,,36,2,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,244,0,0.035,,,,-0.035,,3,3,0.869,0.869,27,31,28,32,3,2,5,1,5,1,2.68,1.4,1.4,29.4
FF,4/2/2024,94.3,2.22,6.26,"Duvall, Adam",594807,676979,,foul,,,,,12,Adam Duvall flies out to right fielder Dominic Fletcher.,R,R,L,CWS,ATL,S,,,2,2,2024,0.11,1.02,0.06,3.68,,,,1,7,Top,,,,,,,-5.972398771,-137.2258463,-3.313473397,2.767154081,30.27361952,-18.75241372,3.35,1.57,173,83.5,67,95.9,2449,7.2,746814,455117,683734,670032,660162,669699,643217,673357,666150,53.32,,,,,,,,47,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,153,0,0,,,,0,88,0,0,0.539,0.461,25,35,25,36,3,2,5,2,5,3,1.54,0.11,-0.11,43
CH,4/2/2024,86.8,-3.26,5.62,"Rizzo, Anthony",519203,668678,,ball,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,B,,,0,0,2024,-1.17,0.67,-1.31,2.83,,,665742,2,6,Top,,,,,,,7.138008173,-126.2678951,-1.906799727,-13.90861783,23.55974321,-24.82700197,3.83,1.84,,,,87.9,1500,6.8,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.68,,,,,,,,45,1,Changeup,3,0,0,3,0,3,0,3,Infield shade,Standard,221,0,0.028,,,,-0.028,,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,2.34,1.17,-1.17,34
SI,4/2/2024,90.8,1.98,4.82,"Casas, Triston",671213,622072,,foul,,,,,3,Triston Casas walks.,R,L,L,OAK,BOS,S,,,1,1,2024,1.24,0.79,0.37,3.51,,,,0,6,Top,,,,,,,-6.674456245,-132.0617038,0.94648005,15.90467434,28.27582373,-23.34343434,3.71,1.73,195,70.3,53,90.5,1820,6.1,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.36,,,,,,,,46,3,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,116,0,-0.051,,,,0.051,88,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,1.98,1.24,1.24,18.3
SL,4/2/2024,85,2.16,5.81,"Hicks, Aaron",543305,666200,,blocked_ball,,,,,13,Aaron Hicks singles on a ground ball to center fielder Jazz Chisholm Jr.  Zach Neto scores.,R,R,L,MIA,LAA,B,,,1,0,2024,0.2,0.28,-1.68,-0.2,687263,,,1,6,Top,,,,,,,-9.257958043,-123.2499665,-8.202658448,3.877012106,23.84846052,-27.81727544,3.41,1.63,,,,83.9,2432,5.7,746086,663743,669394,650333,681146,641313,650559,665862,541645,54.82,,,,,,,,37,2,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,96,0,0.028,,,,-0.028,,-1,1,0.272,0.728,26,34,27,35,3,2,5,1,6,1,2.89,0.2,-0.2,36.5
FF,4/2/2024,95.5,2.2,6.22,"Duvall, Adam",594807,676979,,ball,,,,,13,Adam Duvall flies out to right fielder Dominic Fletcher.,R,R,L,CWS,ATL,B,,,1,2,2024,0.28,1.25,-1,2.13,,,,1,7,Top,,,,,,,-9.219340931,-138.6923384,-8.099746075,5.681236125,30.18676377,-14.3967484,3.33,1.59,,,,97.2,2428,7.3,746814,455117,683734,670032,660162,669699,643217,673357,666150,53.22,,,,,,,,47,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,152,0,0.027,,,,-0.027,,0,0,0.539,0.461,25,35,25,36,3,2,5,2,5,3,1.26,0.28,-0.28,43.2
SL,4/2/2024,79.9,3.28,5.02,"RamÃ­rez, Harold",623912,571760,single,hit_into_play,,,,,14,Harold RamÃ­rez singles on a line drive to right fielder Adolis GarcÃ­a.   Yandy DÃ­az to 3rd.,R,R,L,TB,TEX,X,9,line_drive,3,2,2024,-0.41,-0.4,0.86,1.99,,,650490,2,5,Bot,178.95,112.8,,,,,-4.546060948,-116.2569432,0.856806416,-2.72341728,23.85459976,-36.16500635,3.25,1.5,110,93,5,79.6,2557,6.3,745111,641680,665120,543760,669701,608369,694497,665750,666969,54.21,0.514,0.472,0.9,1,1,0,4,38,6,Slider,1,0,1,0,0,1,1,0,Standard,Standard,298,0.025,0.26,,,0.574,-0.26,93,1,1,0.689,0.689,33,29,33,30,3,2,,2,6,1,4,-0.41,0.41,29.1
SL,4/2/2024,80.4,2.06,4.6,"Casas, Triston",671213,622072,,called_strike,,,,,8,Triston Casas walks.,R,L,L,OAK,BOS,S,,,1,0,2024,-0.74,-0.01,0.15,1.78,,,,0,6,Top,,,,,,,-2.809239528,-117.1778935,0.412234843,-6.356351284,21.31124574,-32.55135187,3.49,1.88,,,,80.3,1934,6.1,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.45,,,,,,,,46,2,Slider,4,3,3,4,3,4,3,4,Infield shade,Standard,320,0,-0.044,,,,0.044,,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,3.51,-0.74,-0.74,15
SI,4/2/2024,92.2,-1.33,5.06,"Betts, Mookie",605141,657277,,called_strike,,,,,8,Mookie Betts flies out to right fielder Mike Yastrzemski.,R,R,R,LAD,SF,S,,,0,0,2024,-1.39,0.17,0.16,1.59,,,571771,1,4,Bot,,,,,,,6.90014473,-133.9963895,-3.311372315,-18.25358314,33.25302861,-29.59624455,3.3,1.49,,,,92.9,1957,7.1,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.42,,,,,,,,36,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,238,0,-0.047,,,,0.047,,3,3,0.869,0.869,27,31,28,32,3,2,5,1,5,1,2.55,1.39,1.39,26.9
