pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,4/2/2024,88.1,-1.56,5.59,"Canzone, Dominic",686527,669456,,blocked_ball,,,,,14,Dominic Canzone called out on strikes.,R,L,R,SEA,CLE,B,,,0,0,2024,-1.16,0.63,1.01,0.61,,664034,,0,5,Bot,,,,,,,8.704451287,-127.9950501,-7.36711516,-14.50206316,24.31318192,-23.9370941,3.32,1.5,,,,88.8,1393,6.6,745273,595978,647304,665926,608070,677587,680757,671289,686823,53.85,,,,,,,,40,1,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,234,0,0.051,,,,-0.051,,-4,-4,0.16,0.16,29,26,29,27,2,1,5,1,,1,2.3,1.16,-1.16,39.4
CU,4/2/2024,76.1,-1.32,6.12,"Fraley, Jake",641584,605513,,swinging_strike,,,,,8,Jake Fraley strikes out swinging.,R,L,R,PHI,CIN,S,,,1,1,2024,1.29,-1.21,-0.18,1.69,,,,1,4,Top,,,,,,,0.07593742,-110.8170393,-0.072488915,10.55684576,20.35109832,-42.30910873,3.32,1.57,,,,76,2601,6.3,745598,596117,547180,681082,664761,607208,669016,679032,592206,54.24,,,,,,,,25,3,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard,44,0,-0.039,,,,0.039,,0,0,0.527,0.473,31,29,32,29,2,1,,2,6,1,5.15,-1.29,1.29,34.6
CU,4/2/2024,79.4,-2.14,6.05,"Taveras, Leody",665750,621107,field_out,hit_into_play,,,,,7,"Leody Taveras grounds out, first baseman Yandy DÃ­az to pitcher Zach Eflin.",R,L,R,TB,TEX,X,3,ground_ball,1,1,2024,0.97,-0.62,-0.47,2.03,,,,2,5,Top,157.16,164.26,,,,,1.834518843,-115.5418524,-0.785474916,8.250652945,23.98494061,-37.79474346,3.67,1.77,3,87.4,-37,79.3,2483,6.4,745111,650907,650490,678554,670623,676609,668227,642350,642708,54.05,0.066,0.068,0,1,0,0,2,34,3,Curveball,1,0,0,1,0,1,0,1,Infield shade,Standard,70,0.014,-0.094,,,0.072,0.094,88,1,-1,0.699,0.301,30,25,30,26,2,1,5,2,6,1,4.27,-0.97,0.97,34.5
FC,4/2/2024,84.4,3.33,5.08,"Soler, Jorge",624585,642232,,ball,,,,,1,Jorge Soler homers (1) on a fly ball to left center field.,R,R,L,LAD,SF,B,,,0,0,2024,0.06,0.92,-0.68,3.67,,,,0,6,Top,,,,,,,-9.517461144,-122.7152505,1.214710457,2.338562832,21.97804817,-23.23297773,3.72,1.75,,,,85.2,1949,6.6,746169,669257,518692,666158,571970,605141,571771,681546,606192,53.86,,,,,,,,45,1,Cutter,5,2,2,5,2,5,2,5,Standard,Standard,132,0,0.034,,,,-0.034,,3,-3,0.872,0.128,32,32,33,32,2,2,5,1,5,1,2.26,0.06,-0.06,13.5
SL,4/2/2024,79.9,3.18,5.13,"Paredes, Isaac",670623,571760,,called_strike,,,,,9,Isaac Paredes pops out to first baseman Jared Walsh.,R,R,L,TB,TEX,S,,,0,0,2024,-0.45,-0.15,0.5,1.87,650490,,623912,2,3,Bot,,,,,,,-5.049435427,-116.35505,-0.216948399,-3.201261292,20.75622178,-33.68995587,3.14,1.65,,,,80.1,2444,6.3,745111,641680,665120,543760,669701,608369,694497,665750,666969,54.23,,,,,,,,24,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,298,0,-0.077,,,,0.077,,1,1,0.673,0.673,33,25,33,25,2,1,,2,6,1,3.7,-0.45,0.45,32.3
CH,4/2/2024,85.4,-3.33,5.58,"Rizzo, Anthony",519203,668678,,called_strike,,,,,7,Anthony Rizzo lines out to left fielder Lourdes Gurriel Jr.,R,L,R,AZ,NYY,S,,,2,1,2024,-1.19,0.37,-0.58,1.76,,,,0,4,Top,,,,,,,8.923769604,-124.0688637,-3.482920777,-14.01978564,23.45817733,-27.8419889,3.7,1.78,,,,86.2,1644,6.7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.76,,,,,,,,28,4,Changeup,3,0,0,3,0,3,0,3,Infield shade,Standard,230,0,-0.062,,,,0.062,,3,-3,0.824,0.176,28,34,29,35,2,1,5,1,6,1,2.75,1.19,-1.19,32.9
FC,4/2/2024,90.8,-1.57,5.5,"Hoskins, Rhys",656555,686973,,ball,,,,,7,Rhys Hoskins hit by pitch.,R,R,R,MIL,MIN,B,,,0,1,2024,0.35,0.66,-0.78,1.98,,,,2,3,Bot,,,,,,,1.25622935,-132.3234061,-4.379672994,3.878484255,26.2495901,-23.74494711,3.46,1.6,,,,91.7,,6.6,746009,543877,467793,666397,650489,621043,670242,621439,596146,53.93,,,,,,,,25,2,Cutter,2,0,2,0,0,2,2,0,Standard,Standard,,0,0.011,,,,-0.011,,2,2,0.746,0.746,26,31,27,31,2,1,,2,7,1,2.08,-0.35,-0.35,38.8
SI,4/2/2024,92.2,-1.15,5.03,"Freeman, Freddie",518692,657277,,foul,,,,,5,Freddie Freeman doubles (2) on a line drive to left fielder Michael Conforto.,R,L,R,LAD,SF,S,,,1,1,2024,-1.26,0.1,-0.03,2.97,,,,2,3,Bot,,,,,,,5.701456005,-134.1549043,0.385882531,-16.50373006,28.22526876,-31.25305908,3.64,1.83,,,,93.8,1793,7.2,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.31,,,,,,,,26,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,246,0,-0.025,,,,0.025,,0,0,0.512,0.512,27,34,28,35,2,1,5,1,5,1,2.58,1.26,-1.26,24.1
SI,4/2/2024,91.3,1.94,5.12,"Reyes, Pablo",622569,622072,single,hit_into_play,,,,,1,Pablo Reyes singles on a line drive to center fielder JJ Bleday.   Tyler O'Neill scores.    Rafael Devers to 3rd.    Pablo Reyes to 2nd.,R,R,L,OAK,BOS,X,8,line_drive,2,2,2024,1.42,0.98,-0.36,2.91,,641933,646240,1,3,Top,110.16,94.17,,,,,-8.78594743,-132.7221438,-1.766790744,18.67819709,28.08123482,-20.34948468,3.35,1.64,266,93.2,15,90.8,2119,6,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.5,0.897,0.855,0.9,1,1,0,4,22,7,Sinker,2,2,2,2,3,2,3,2,Standard,Standard,129,-0.158,0.989,,,1.067,-0.989,93.2,0,0,0.457,0.543,33,30,33,31,2,1,5,3,7,3,1.75,1.42,-1.42,26.1
FF,4/2/2024,95.3,-1.93,5.11,"Brennan, Will",686823,622491,,foul,,,,,3,Will Brennan singles on a ground ball to right fielder Mitch Haniger.   JosÃ© RamÃ­rez scores.    Will Brennan to 2nd.  Fielding error by right fielder Mitch Haniger.,R,L,R,SEA,CLE,S,,,0,2,2024,-0.82,1.02,0.46,3.21,,,608070,2,4,Top,,,,,,,7.978388156,-138.6106804,-1.638399456,-12.36924276,29.488513,-18.87121701,3.4,1.55,162,67.1,61,94,2019,5.5,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.05,,,,,,,,26,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,237,0,0,,,,0,88,0,0,0.531,0.469,31,26,32,26,2,1,5,1,6,1,1.49,0.82,-0.82,17.8
